sondern	а
die Bedeutung, -en	значение
bedeuten, bedeutet, bedeutete, hat bedeutet	значить
das Gold	золото
der Schirm, -e	зонт
der Tierpark, -s	зоопарк
der Zoo, -s	зоопарк
reif	зрелый
der Zuschauer, - die Zuschauerin, -nen	зритель
der Zahn, ¨-e	зуб
die Zahncreme/-pasta	зубная паста
die Zahnbürste, -n	зубная щетка
und	и
sowieso	и без того
und so weiter	и так далее
die Nadel, -n	игла
das Spiel, -e	игра
spielen, spielt, spielte, hat gespielt	играть
der Spielplatz, ¨-e	игровая площадка
der Spieler, - die Spielerin, -nen	игрок
das Spielzeug, -e	игрушка
ideal	идеальный
hageln, hagelt, hagelte, hat gehagelt Es hagelt.	Идет град
die Idee, -n	идея
gehen, geht, ging, ist gegangen	идти
zugehen, geht zu, ging zu, ist zugegangen	идти
regnen, es regnet, es regnete, es hat geregnet	идти дождю
entgegenkommen	идти навстречу
aus	из
von	из
vermeiden, vermeidet, vermied, hat vermieden	избегать
anzeigen, zeigt an, zeigte an, hat angezeigt	извещать
die Meldung, -en	извещение
die Entschuldigung, -en	извинение
entschuldigen, entschuldigt, entschuldigte, hat entschuldigt	извинять
wegen	изза
die Änderung, -en	изменение
(sich) verändern, verändert, veränderte, hat verändert	изменять
ursprünglich	изначальный
erschöpft	изнуренный
darstellen, stellt dar, stellte dar, hat dargestellt	изображать
die Abbildung, -en	изображение
die Darstellung, -en	изображение
erfinden, erfindet, erfand, hat erfunden	изобретать
die Erfindung, -en	изобретение как процесс
studieren, studiert, studierte, hat studiert	изучать
oder	или
entweder ... oder	или или
haben, hat, hatte, hat gehabt	иметь
der Name, -n	имя
der Vorname, -n	имя
sonst	иначе
die Zutaten (Pl.)	ингридиенты
individuell	индивидуальный
die Industrie, -n	индустрия
der Ingenieur, -e	инженер
manchmal	иногда
der Ausländer, - die Ausländerin, -nen ausländisch	иностранец
fremd	иностранный
die Fremdsprache, -n	иностранный язык
das Institut, -e	институт
das Instrument, -e	инструмент
das Werkzeug, -e	инструмент
die Integration, -en	интеграция
integrieren, integriert, integrierte, hat integriert	интегрировать
intensiv	интенсивный
das Interview, -s	интервью
das Interesse, -n	интерес
interessant	интересный
interessieren, interessiert, interessierte, hat interessiert für A (sich) (чем-л. für A, к чему-л. an D)	интересовать
international	интернациональный
das Internet	интернет
die Infektion, -en	инфекция
die Auskunft, ¨-e	информация
die Information, -en	информация
informieren, informiert, informierte, hat informiert	информировать
suchen, sucht, suchte, hat gesucht	искать
googeln	искать в Гугле
die Ausnahme, -n	исключение
künstlich	искусственный
der Kunststoff, -e	искусственный синтетический материал
die Kunst, ¨-e	искусство
die Untersuchung, -en	ислледование
verschreiben, verschreibt, verschrieb, hat verschrieben	исписывать
gebrauchen, gebraucht, gebrauchte, hat gebraucht	использовать
verwenden, verwendet, verwendete, hat verwendet	использовать
kaputt	испорченный
testen, testet, testete, hat getestet	испытывать
die Forschung, -en	исследование научное
untersuchen, untersucht, untersuchte, hat untersucht	исследовать
wahr	истинный настоящий
historisch	исторический
die Geschichte	история
die Geschichte, -n	история
verschwinden, verschwindet, verschwand, ist verschwunden	исчезать
der Juli	июль
der Juni	июнь
gegen	к
zum Beispiel	к примеру
leider	к сожалению
die Kneipe, -n (D)	кабак
das Kabel, -	кабель
jeder, jedes, jede	каждый
jedes Mal	каждый раз
jeweils	каждый раз
als	как
wie	как
als ob	как будто бы
sowohl … als auch	как так и
sobald	как только
der Kakao, -s	какао
was für ein-	какой
welcher, welche, welches	какой ая
der Kalender, -	календарь
der Terminkalender, -	календарьпамятка
der Stein, -e	камень
die Kamera, -s	камера
der Kandidat, -en	кандидат
die Ferien (Pl.) (CH) → D, A: Urlaub	каникулы
die Tropfen (Pl.)	капля
der Bleistift, -e	карандаш
die Tasche, -n	карман
das Taschengeld, -er	карманные деньги
der Karneval, -s/-e (D) → D, A: Fasching; CH: Fasnacht	карнавал
der Fasching, - (D, A) → D: Karneval; CH: Fasnacht	карнавал в последние дни перед Великим постом
die Fasnacht (CH) → D, A: Fasching; D: Karneval	карнвальная ночь
die Karotte, -n → D: Möhre; CH: Rüebli	каротель сорт моркови
die Bankomat-Karte, -n	карта банковская
die Karte, -n	карта географ
die Versichertenkarte, -n (D) → A: e-card	карта страхования
das Bild, -er	картина
der Erdapfel, ¨- (A) → Kartoffel	картофель
die Kartoffel, -n → A: Erdapfel	картофель
die Pommes frites (Pl.)	картофель фри
die Karriere, -n	карьера
die Kasse, -n	касса
die Castingshow, -s	кастинг
der Katalog, -e	каталог
die Katastrophe, -n	катастрофа
das Café, -s	кафе
das Kaffeehaus, ¨-er (A)	кафе
das Lokal, -e	кафе
die Cafeteria, -s	кафетерий
die Qualität, -en	качество
der Husten	кашель
husten, hustet, hustete, hat gehustet	кашлять
die Kabine, -n	каюта
1 m² = ein Quadratmeter	квадратный метр
die Qualifikation, -en	квалификация
die Wohnung, -en	квартира
die Quittung, -en	квитанция
der/das Ketchup/Ketschup, -s	кетчуп
1 kg = ein Kilo(gramm)	килограмм
1 km/h = ein Kilometer pro Stunde	километр в час
das Kino, -s	кино
der Kiosk, -e	киоск
sauer	кислый
die Tastatur, -en	клавиатура
die Klasse, -n	класс
klasse	классный
legen, legt, legte, hat gelegt	класть
kleben, klebt, klebte, hat geklebt	клеить
der Kloß, ¨-e (D) → D, A: Knödel	клецка
der Knödel, - (D, A) → D: Kloß	клецка
der Kunde, -n die Kundin, -nen	клиент
der Klick, - s	клик мышкой
anklicken, klickt an, klickte an, hat angeklickt	кликнуть мышью
das Klima	климат
die Klinik, -en	клиника
der Club, -s	клуб
der Schlüssel, -	ключ
das Buch, ¨-er	книга
der Verlag, -e (A: ¨-e)	книгоиздательство
die Buchhandlung, -en	книжный магазин
der Teppich, -e	ковер
wann	когда
wenn	когда
irgendwann	когданибудь
je	когданибудь
jemals	когданибудь
die Vorwahl, -en	код города
die Haut, Häute	кожа
die/das Cola, -s	кокакола
die Wurst, ¨-e	колбаса
das Knie, -	колено
das Rad, ¨-er	колесо
die Menge, -n	количество
der Kollege, -n die Kollegin, -nen	коллега
riesig	колоссальный
stechen, sticht, stach, hat gestochen	колоть
der Ring, -e	кольцо
das Team, -s	команда
die Mannschaft, -en	команда
die Mücke, -n	комар
der/das Comic, -s	комикс
komisch	комичный
der Kommentar, -e	комментарий
das Zimmer, -	комната
zuständig	компетентный
der Kompromiss, -e	компромисс
der PC, -s	компьютер
der Computer, -	компьютер
der Briefumschlag, ¨-e → A: Kuvert; CH: Couvert	конверт
das Couvert, -s (CH) → Briefumschlag; A: Kuvert	конверт
das Kuvert, -s (A) → der Briefumschlag; CH: Couvert	конверт
die Klimaanlage, -n	кондиционер
das Ende	конец
der Schluss	конец
der Feierabend	конец рабочего дня
das Wochenende, -n	конец рабочей недели
der Terminal, -s	конечный пункт
die Konkurrenz	конкуренция
der Wettbewerb, -e	конкурс
konservativ	консервативный
das Konsulat, -e	консульство
die Beratung	консультация
der Kontakt, -e	контакт
kontrollieren, kontrolliert, kontrollierte, hat kontrolliert	контролировать
checken	контролировать проверять технику понимать
die Kontrolle, -n	контроль
die Klassenarbeit, -en (D) → A: Schularbeit	контрольная работа
die Schularbeit, -en (A) → D: Klassenarbeit	контрольная работа в школе
die Konferenz, -en	конференция
die Konfitüre, -n (CH)	конфитюр
der Konflikt, -e	конфликт
sich konzentrieren, konzentriert sich, konzentrierte sich, hat sich konzentriert	концентрировать
das Konzert, -e	концерт
der Kopierer, -	копировальный аппарат
kopieren	копировать
die Kopie, -n	копия
das Schiff, -e	корабль
der Flur, -e → Gang; D, CH: Korridor	коридор
der Korridor, -e (D, CH) → Gang; D: Flur	коридор
braun	коричневый
ernähren, ernährt, ernährte, hat ernährt	кормить
verpflegen, verpflegt, verpflegte, hat verpflegt	кормить
die Ernährung	кормление
die Schachtel, -n	коробка
die Kuh, ¨-e	корова
das Rind, -er	корова
der König, -e	король
kurz	короткий
korrigieren, korrigiert, korrigierte, hat korrigiert	корректировать
schief	косой
der Knochen, -	кость
der Anzug, ¨-e	костюм
das Kostüm, -e	костюм женский
der Kaffee	кофе
die Geldbörse, -n (A) → Brieftasche; D, CH: Portemonnaie/ Portmonee	кошелек
das Portemonnaie/Portmonee, -s (D, CH) → Brieftasche; A: Geldbörse	кошелек
die Katze, -n	кошка
der Rand, ¨-er	край
extrem	крайний
der Notfall, ¨-e	крайняя необходимость
hübsch	красивый
schön	красивый
rot	красный
stehlen, stiehlt, stahl, hat gestohlen	красть
kreativ	креативный
der Kredit, -e	кредит
die Kreditkarte, -n	кредитная карта
die Creme, -n/-s	крем
haltbar	крепкий
kräftig	крепкий
sich festhalten (an D)	крепко держаться
die Burg, -en	крепость
der Fauteuil, -s (A, CH) → D, CH: Sessel	кресло
der Sessel, - (D, CH) → A, CH: Fauteuil	кресло
das Kreuz, -e	крест
der Bauer, -n	крестьянин
der Bauernhof, ¨-e	крестьянская усадьба
die Kurve, -n	кривая
die Krise, -n	кризис
die Kritik, -en	критика
kritisieren, kritisiert, kritisierte, hat kritisiert	критиковать
kritisch	критический
rufen, ruft, rief, hat gerufen	кричать
schreien, schreit, schrie, hat geschrien	кричать
bluten, blutet, blutete, hat geblutet	кровоточить
das Blut	кровь
außer	кроме
außerdem	кроме того
nebenbei	кроме того
der Kreis, -e Landkreis	круг
die Runde, -n	круг
rund	круглий
steil	крутой
das Hallenbad, ¨-er	крытый бассейн
das Dach, ¨-er	крыша
wer	кто
man	ктолибо каждый
jemand	ктонибудь
wohin	куда
die Puppe, -n	кукла
die Kultur, -en	культура
kulturell	культурный
das Bad, ¨-er	купание
baden, badet, badete, hat gebadet	купать
der Raucher, - die Raucherin, -nen	курильщик
das Hend(e)l, - (A) → D: Hähnchen/Hühnchen; CH: Poulet	курица
der Kurs, -e	курс занятий
der Kursleiter, - die Kursleiter, -nen	курс лечения
die Jacke, -n	куртка
beißen, beißt, biss, hat gebissen	кусать
das Stück/-stück, -e	кусок
die Küche, -n	кухня
Speise-/-speise, -n	кушанье
das Lager, -	лагерь
die Lampe, -n	лампа
die Nudel, -n	лапша
lügen, lügt, log, hat gelogen	лгать
der Löwe, -n	лев
der Snack, -s	легкая закуска
leicht	легкий
das Eis	лед
liegen, liegt, lag, hat/ist gelegen	лежать
klettern, klettert, kletterte, ist geklettert	лезть
die Droge, -n	лекарство
die Band, -s	лента
der Wald, ¨-er	лес
die Stiege, -n (A) → D, CH: Treppe	лестница
das Stiegenhaus, ¨-er (A) → D, CH: Treppenhaus	лестница
die Treppe, -n (D, CH) → A: Stiege	лестница
das Treppenhaus, ¨-er (D, CH) → A: Stiegenhaus	лестничная клетка
fliegen, fliegt, flog, ist geflogen	летать
der Sommer, -s, -	лето
ob	ли
liberal	либеральный
lila	лиловый
die Zitrone, -n	лимон
die Limonade, -n	лимонад
die Linie, -n	линия
das Blatt, ¨-er	лист
der Antwortbogen, -/-“-	лист ответов
die Literatur	литература
1 l = ein Liter	литр
gießen, gießt, goss, gegossen	лить
das Gesicht, -er	лицо
persönlich	личный
fangen, fängt, fing, hat gefangen	ловить
das Boot, -e	лодка
der Löffel, -	ложка
die Lüge, -n	ложь
brechen, bricht, brach, hat gebrochen	ломать
das Pferd, -e	лошадь
die Wiese, -n	луг
der Rasen, -	лужайка
die Zwiebel, -n	лук
der Mond, -e	луна
der Ski/Schi, -er/-	лыжа
Lieblings-	любимец
beliebt	любимый
lieb	любимый
lieben, liebt, liebte, hat geliebt	любить
die Liebe, -n	любовь
gespannt	любопытный
neugierig	любопытный
die Leute (Pl.)	люди
Elektrogeschäft, Elektroingenieur, Elektroherd	магазин электроники
die Salbe, -n	мазь
der Mai, -(e)s и –, -en и -e	май
maximal	максимальный
klein	маленький
ein bisschen	мало
wenig/wenige	мало
gering	малый
der Bub, -en (A, CH) → D: Junge	мальчик
der Junge, -n (D) → A, CH: Bub	мальчик
das Schreiben, -	манера писать
die Margarine, -en	маргарин
der März, -(es), -en, -e	март
das Öl, -e	масло растительное
die Butter	масло сливочное
der Meister, -	мастер
basteln, bastelt, bastelte, hat gebastelt	мастерить
das Studio, -s	мастерская
die Werkstatt, ¨-en	мастерская
der Rechner, -	математик
die Mathe(matik)	математика
das Material, - ien	материал
das Zeug/-zeug	материя
die Mutter, ¨-	мать
das Mountainbike, -s	маунтинбайк
die Maschine, -n	машина
das Möbel, -	мебель
möbliert	меблированная
der Honig	мед
der Bär, -en	медведь
das Medikament, -e	медикамент
die Medizin, -en	медицина
langsam	медленный
zwischen	между
übrigens	между прочим
inzwischen	между тем
mittlerweile	между тем
interkulturell	межкультурный
der Händler, - die Händlerin, -nen	мелкий торговец
die Minderheit, -en	меньшиство
das Menü, -s	меню
die Speisekarte, -n	меню
ändern, ändert, änderte, hat geändert	менять
tauschen, tauscht, tauschte, hat getauscht	менять
umtauschen, tauscht um, tauschte um, hat umgetauscht	менять
wechseln, wechselt, wechselte, hat gewechselt	менять
frieren, friert, fror, hat gefroren	мерзнуть
messen, misst, maß, hat gemessen	мерить
tot	мертвый
die Messe, -n	месса
die Gegend, -en	местность
die Landschaft, -en	местность
der Ort, -e	место
die Stelle, -n	место
der Treffpunkt, -e	место встречи
der Wohnort, -e	место жительства
der Wohnort, -e	место жительства
der Wohnsitz, -e	место жительства
die Lehrstelle, -n	место производственного обучения ученика
die Arbeitsstelle, -n	место работы
die Lage	местоположение
der Monat, -e monatlich	месяц
das Metall, -e	металл
der Wetterbericht, -e	метеосводка
die Methode, -n	метод
1 m = ein Meter, das/der Meter, -s, =	метр
1,15 m = ein Meter fünfzehn	метр 15
die U-Bahn, -en	метро
die U-Bahn, -en	метрополитен
die Metropole, -n	метрополия
das Laufwerk, -e	механизм машины
der Mechaniker, - die Mechanikerin, -nen	механик
mischen, mischt, mischte, hat gemischt	мешать
stören, stört, störte, hat gestört	мешать
der Sack, ¨-e	мешок
der Augenblick, -e	миг
der Migrant, -en die Migrantin, -nen	мигрант
die Migration	миграция
1 000 000 000 = eine Milliarde, -n	миллиард
1 000 000 = eine Million, -en	миллион
nett	милый
vorbei/vorbei-	мимо
das Mineralwasser, -wässer>	минеральная вода
minimal	минимальный
der Minister, - die Ministerin, -nen	министр
minus	минус
-1°C = ein Grad unter Null/ minus ein Grad	минус один градус
die Minute, -n	минута
der Friede, -e Frieden, -	мир
die Welt	мир
die Schüssel, -n	миска
die Meinung, -en	мнение
viel/viele	много
zahlreich	многочисленный
das Handy, -s	мобильный телефон
das Mobiltelefon, -e	мобильный телефон
die Mode, -n	мода
das Modell, -e	модель
das Modul, -e	модуль
vielleicht	может быть
nass	мокрый
der Blitz, -e	молния
jung	молодой
die Jugend	молодость
die Milch	молоко
der Hammer, ¨-	молот
schweigen, schweigt, schwieg, hat geschwiegen	молчать
der Moment, -e	момент
die Münze, -n	монета
der Monitor, -e	монитор
das Meer, -e	море
die See die Nord-/Ostsee	море
die Möhre, -n (D) → Karotte; CH: Rüebli	морковь
das Rüebli, - (CH) → Karotte; D: Möhre	морковь
das Eis (D, A) → CH: Glace/ Glacé	мороженое
die Kälte	мороз
die Brücke, -n	мост
das Pflaster, -	мостовая булыжная
das Motorrad, ¨-er	мотоцикл
dürfen, darf, durfte, hat gedurft (hat dürfen als Modalverb)	мочь
können, kann, konnte, hat gekonnt (hat können als Modalverb)	мочь
das Waschmittel, -	моющее средство
weise	мудрый
mutig	мужественный
der Mut	мужество
männlich	мужской
der Mann, ¨-er	мужчина
das Museum, Museen	музей
die Musik	музыка
die Musik	музыка
musikalisch	музыкальный
der Musiker, - die Musikerin, nen	музыкант
das Mehl, -е	мука
der Muskel, -n	мускул
der Müll	мусор
der Abfalleimer, -	мусорное ведро
die Fliege,- n	муха
peinlich	мучительный
die Seife, -n	мыло
der Gedanke, -n	мысль
die Maus, ¨-e	мышь
das Müesli/Müsli, -	мюсли
mild	мягкий
weich	мягкий
der Fleischhauer, - die Fleischhauerin, -nen (A) → Metzger	мясник
der Metzger, - → A: Fleischhauer	мясник
das Fleisch	мясо
der Ball, ¨-e	мяч
auf	на
Prost	на здоровье! ваше здоровье!
beobachten, beobachtet, beobachtete, hat beobachtet	наблюдать
oben	наверху
besuchen, besucht, besuchte, hat besucht	навещать
sich langweilen, langweilt, langweilte, hat gelangweilt	нагонять тоску
einladen, lädt ein, lud ein, hat eingeladen	нагружать
über	над
(sich) anziehen, zieht an, zog an, hat angezogen	надевать
die Hoffnung, -en	надежда
sicher	надежный
zuverlässig	надежный
hoffen, hofft, hoffte, hat gehofft	надеяться
die Erhöhung, -en	надстройка
zurück/zurück	назад
festsetzen, setzt fest, setzte fest, hat festgesetzt	назначать
angeben, gibt an, gab an, hat angegeben	называть
nennen, nennt, nannte, hat genannt	называть
heißen, heißt, hieß, hat geheißen	называться
die Strafe, -n	наказание
bestrafen, bestraft, bestrafte, hat bestraft	наказывать
sich beschweren, beschwert sich, beschwerte sich, hat sich beschwert	накладывать груз
endlich	наконец
das Bargeld, -(e)s	наличные деньги
bar	наличный
die Steuer, -n	налог
die Mehrwertsteuer	налог на добавленную стоимость
vorhaben, hat vor, hatte vor, hat vorgehabt	намереваться сделать чтолибо носить повязанный фартук и тп
die Absicht, -en	намерение
das Vorhaben	намерение
das Getränk, -e	напиток
erfüllen, erfüllt, erfüllte, hat erfüllt	наполнять
erinnern, erinnert, erinnerte, hat erinnert	напоминать
zuletzt	напоследок
die Richtung, -en	направление
leiten, leitet, leitete, hat geleitet	направлять
vergeblich	напрасный
gegenüber	напротив
sich anstrengen, strengt sich an, strengte sich an, hat sich angestrengt	напрягать
das Suchtmittel, -	наркотик
die Volkshochschule, -en	Народный университет
raus-	наружу
neben	наряду
das Insekt, -en	насекомое
die Bevölkerung	население
der Schnupfen	насморк
die Aufforderung, -en	настоятельная просьба
die Mahnung, -en	настоятельная просьба
auffordern, fordert auf, forderte auf, hat aufgefordert	настоятельно просить
Tee ziehen lassen	настояться чаю
echt	настоящий
die Stimmung, -en	настроение
die Wissenschaft, -en	наука
finden, findet, fand, hat gefunden	находить
heraus-, raus- (heraus-) finden, findet heraus, fand heraus, hat herausgefunden	находить
sich befinden, befindet sich, befand sich, hat sich befunden	находиться
national/national	национальный
der Nationalfeiertag, -(e)s, -e	национальный праздник
der Anfang, ¨-e	начало
die Aufnahme, -n	начало
der Beginn, -(e)s	начало
die Grundschule, -n	начальная школа
anfangen, fängt an, fing an, hat angefangen	начинать
beginnen, beginnt, begann, hat begonnen	начинать
nicht	не
ausschließen, schließt aus, schloss aus, hat ausgeschlossen	не впускать
unterlassen, unterlässt, unterließ, hat unterlassen	не делать
wertlos	не имеющий ценности
der Himmel	небо
das Gasthaus, ¨-er (A)	небольшая гостиница
die Gaststätte, -n (D)	небольшая гостиница с рестораном
der Swimmingpool, -s	небольшой открытый плавательный бассейн
der Hügel, -	небольшой холм
unglaublich	невероятный
negativ	негативный
kürzlich	недавно
neulich	недавно
die Woche, -n wöchentlich	неделя
preiswert	недорогой
fehlen, fehlt, fehlte, hat gefehlt	недоставать
der Mangel, ¨-	недостаток
(6) ungenügend (die/eine Sechs)	недостаточно как оценка
(5) mangelhaft (die/eine Fünf)	недостаточный
die Panne, -n	неисправность
der Rasen, -	неистовство
mehrere	некоторые
manch-	некоторый
hässlich	некрасивый
der Nichtraucher, - die Nichtraucherin, -nen	некурящий
illegal	нелегальный
stumm	немой
hassen, hasst, hasste, hat gehasst	ненавидеть
notwendig	необходимый
ungewöhnlich	необычный
die Überraschung,-en	неожиданность
plötzlich	неожиданный
der Nerv, -en	нерв
nervös	нервный
unentschieden	нерешенный
(ein) paar	несколько
trotz	несмотря
trotzdem	несмотря на это
der Unfall, ¨-e	несчастный случай
das Unglück, -e	несчастный случай
nein	нет
weder … noch	ни ни
nirgends	нигде
nirgendwo	нигде
niedrig	низкий
kein-	никакой ая
nie	никогда
niemand	никто
nichts	ничто
aber	но
die Nachricht, -en	новость
die Neuigkeit, -en	новость
neu	новый
Neujahr, -(e)s	Новый год
das Bein, -e	нога
der Fuß, ¨-e	нога
das Messer, -	нож
die Schere, -n	ножницы
00:03 = null Uhr drei	ноль часов три минуты
die Nummer, -n	номер дома
die Rufnummer, -n	номер телефона
normal	нормальный
die Nase, -n	нос
tragen, trägt, trug, hat getragen	носить
das Taschentuch, ¨-er	носовой платок
die Socke, -n	носок
die Note, -n	нота
der Laptop, -s	ноутбук
die Übernachtung, -en	ночлег
die Nacht, ¨-e	ночь
der November	ноябрь
gefallen, gefällt, gefiel, hat gefallen	нравиться
benötigen, benötigt, benötigte, hat benötigt	нуждаться
brauchen, braucht, brauchte, hat gebraucht	нуждаться
nötig	нужный
riechen, riecht, roch, hat gerochen	нюхать
der Babysitter, -/die Babysitterin, -nen	няня
worum	о чем
beid-	оба
überholen, überholt, überholte, hat überholt	обгонять
das Schmerzmittel, -	обезболивающее
der Affe, -n	обезьяна
sichern, sichert, sicherte, hat gesichert	обеспечивать
versprechen, verspricht, versprach, hat versprochen	обещать
die Wolke, -n	облако
das Gebiet, -e	область
die Region, -en	область
bewölkt	облачный
erleichtern, erleichtert, erleichterte, hat erleichtert	облегчать
betrügen, betrügt, betrog, hat betrogen	обманывать
umarmen	обнимать
einrichten, richtet ein, richtete ein, hat eingerichtet	оборудовать
die Begründung, -en	обоснование
die Bildung, -en	образование
die Rückmeldung, -en	обратная связь
rückwärts	обратно
rück- die Rückfahrt, -en	обратно обратный путь
behandeln, behandelt, behandelte, hat behandelt	обращаться
(sich) siezen, siezt, siezte, hat gesiezt	обращаться на "Вы"
duzen, duzt, duzte, hat geduzt	обращаться на ты
die Anrede, -n	обращение
einfallen, fällt ein, fiel ein, ist eingefallen	обрушиваться
bedienen, bedient, bediente, hat bedient	обслуживать
besprechen, bespricht, besprach, hat besprochen	обсуждать
diskutieren, diskutiert, diskutierte, hat diskutiert	обсуждать
die Besprechung, -en	обсуждение
ausgebildet	обучать
die Ausbildung, -en	обучение
die Lehre	обучение
besetzen, besetzt, besetzte, hat besetzt	обшивать
(sich) unterhalten, unterhält, unterhielt, hat unterhalten	общаться
chatten	общаться в сети
öffentlich	общедоступный
Gesamtschule	общеобразовательная школа
die Öffentlichkeit	общественность
die Gesellschaft, -en	общество
allgemein	общий
gemeinsam	общий
die Gemeinde, -n	община
die Gemeinschaft, -en	общность
das Inserat, -e	объвление
sich einigen, einigt sich, einigte sich, hat sich geeinigt	объединять
die Ansage, -n	объявление передачи
ankündigen, kündigt an, kündigte an, hat angekündigt	объявлять
bekannt geben, gibt bekannt, gab bekannt, hat bekannt gegeben	объявлять
die Erklärung, -en	объяснение
erklären, erklärt, erklärte, hat erklärt	объяснять
normalerweise	обычно
gewöhnlich	обычный
üblich	обычный
verpflichtet	обязанный
die Bremse, -n	овод
das Gemüse	овощи
das Schaf, -e	овца
das Feuer	огонь
begrenzt	ограниченный
beschränken	ограничивать
leihen, leiht, lieh, hat geliehen	одалживать
die Kleidung	одежда
süchtig	одержимый страстью
allein	один
ein-	один
einmal	один раз
ein Uhr	один час
einsam	одинокий
Einzel	одиночная игра
¼ = ein Viertel; Viertel … usw.	одна четвертая
einmal zweimal dreimal viermal usw.	однажды
allerdings	однако
jedoch	однако же
gleichzeitig	одновременный
genehmigen, genehmigt, genehmigte, hat genehmigt	одобрять
der See, -n	озеро
beeinflussen, beeinflusst, beeinflusste, hat beeinflusst	оказывать влияние
unterstützen, unterstützt, unterstützte, hat unterstützt	оказывать помощь
beenden, beendet, beendete, hat beendet	оканчивать
der Ozean, -e	океан
der Anruf, -e	оклик
anrufen, ruft an, rief an, hat angerufen	окликать
das Fenster, -	окно
endgültig	окончательный
der Schinken, -	окорок
die Umgebung, -en	окрестности
der Oktober	октябрь
sich lohnen, lohnt sich, lohnte sich, hat sich gelohnt	окупаться
rauchen, raucht, rauchte, hat geraucht	окуривать
online	онлайн
verpassen, verpasst, verpasste, hat verpasst	опаздывать
die Gefahr, -en	опасность
gefährlich	опасный
die Oper, -n	опера
die Operation, -en	операция
die Beschreibung, -en	описание
beschreiben, beschreibt, beschrieb, hat beschrieben	описывать
die Verspätung, -en	опоздание
bestimmt	определенный
stürzen, stürzt, stürzte, ist gestürzt	опрокидывать
die Umfrage, -n	опрос
die Spritze, -n	опрыскиватель
optimistisch	оптимистический
veröffentlichen, veröffentlicht, veröffentlichte, hat veröffentlicht	опубликовать
die Erfahrung, -en	опыт
wieder/wieder	опять
orange	оранжевый
die Orange, -n	оранжевый
die Organisation, -en	организация
die Veranstaltung, -en	организация
organisieren, organisiert, organisierte, hat organisiert	организовывать
das Original, -e	оригинал
original	оригинальный
das Orchester, -	оркестр
befreien	освобождать
die Entlassung, -en	освобождение
der Herbst, -es, -e	осень
beleidigen, beleidigt, beleidigte, hat beleidigt	оскорблять
besichtigen, besichtigt, besichtigte, hat besichtigt	осматривать
sinnvoll	осмысленный
gründlich	основательный
begründen, begründet, begründete, hat begründet	основывать
gründen, gründet, gründete, hat gegründet (auf A, auf D)	основывать
besonders	особенно
die Personalien (Pl.)	особенности
besonder	особенный
speziell	особый
bleiben, bleibt, blieb, ist geblieben	оставаться
hinter/hinterhinterlassen, hinterlässt, hinterließ, hat hinterlassen	оставить после себя
behalten, behält, behielt, hat behalten	оставлять
übrig	остальной
stoppen, stoppt, stoppte, hat gestoppt	останавливать
stehen bleiben	останавливаться
der Halt	остановка
die Haltestelle, -n	остановка
der Rest, -e	остаток
die Vorsicht	осторожность
vorsichtig	осторожный
die Insel, -n	остров
scharf	острый
spitz	острый
verurteilen, verurteilt, verurteilte, hat verurteilt	осуждать
schneien, es schneit, es schneite, es hat geschneit	осыпаться
ab	от
der Abfall, ¨-e	отбросы
die Antwort, -en	ответ
verantwortlich	ответственный
der Ordner, -	ответственный за соблюдение порядка
beantworten, beantwortet, beantwortete, hat beantwortet	отвечать
antworten, antwortet, antwortete, hat geantwortet	отвечать на чтол
die Trennung, -en	отделение
extra	отдельно
einzeln	отдельный
abmachen, macht ab, machte ab, hat abgemacht	отделять
lösen, löst, löste, hat gelöst	отделять
(sich) trennen, trennt, trennte, hat getrennt	отделять
die Erholung, -en	отдых
(sich) ausruhen, ruht aus, ruhte aus, hat ausgeruht	отдыхать
sich erholen, erholt sich, erholte sich, hat sich erholt	отдыхать
das Hotel, -s	отель
der Vater, ¨-	отец
verzichten, verzichtet, verzichtete, hat verzichtet	отказываться
sich weigern, weigert sich, weigerte sich, hat sich geweigert	отказываться
klappen, klappt, klappte, hat geklappt	откидывать
sparen, spart, sparte, hat gespart	откладывать
ablehnen, lehnt ab, lehnte ab, hat abgelehnt	отклонять
entdecken, entdeckt, entdeckte, hat entdeckt	открывать
eröffnen, eröffnet, eröffnete, hat eröffnet	открывать
öffnen, öffnet, öffnete, hat geöffnet	открывать
die Eröffnung, -en	открытие выставки
offen	открытый
woher	откуда
ausgezeichnet	отличный
super	отличный
absagen, sagt ab, sagte ab, hat abgesagt	отменять
ankreuzen	отметить крестиком
markieren, markiert, markierte, hat markiert	отмечать
abwaschen, wäscht ab, wusch ab, hat abgewaschen	отмывать
relativ	относительный
die Beziehung, -en	отношения
die Heizung, -en	отопление
ausdrucken, druckt aus, druckte aus, hat ausgedruckt	отпечатывать полностью
der Absender, - die Absenderin, -nen	отправитель
die Sendung, -en	отправление
faxen	отправлять по факсу
losfahren, fährt los, fuhr los, ist losgefahren	отправляться в путь
der Urlaub, -e (D, A) → CH: Ferien	отпуск
entlassen, entlässt, entließ, hat entlassen	отпускать
Abgase (Pl.)	отработавший газ
die Pension, -en	отставка
die Verantwortung	отственность
abwesend	отсутствующий
daher	оттуда
die Abfahrt, -en	отход
abfahren, fährt ab, fuhr ab, ist abgefahren	отъезжать
das Büro, -s	офис
offiziell	официальный
der Kellner, - die Kellnerin, -nen → D, A: Ober; CH: Serviceangestellter	официант
